Time,Dev1/ai0,Average
53:13.8,0.001583395,0.001742514
53:13.8,0.001261292,
53:13.8,-2.71E-05,
53:13.8,0.001905498,
53:13.8,0.002549704,
53:13.8,0.001583395,
53:13.8,0.002549704,
53:13.8,0.00093919,
53:13.8,0.001261292,
53:13.8,0.002227601,
53:13.9,0.000617087,
53:13.9,0.001583395,
53:13.9,0.002227601,
53:13.9,0.000617087,
53:13.9,0.001583395,
53:13.9,0.00093919,
53:13.9,0.00093919,
53:13.9,0.000617087,
53:13.9,0.002871807,
53:13.9,0.001905498,
53:14.0,0.00093919,
53:14.0,0.001905498,
53:14.0,0.001905498,
53:14.0,0.000617087,
53:14.0,0.001583395,
53:14.0,0.001905498,
53:14.0,0.001583395,
53:14.0,0.000617087,
53:14.0,0.001583395,
53:14.0,0.001261292,
53:14.1,0.001583395,
53:14.1,0.001261292,
53:14.1,0.001261292,
53:14.1,0.002227601,
53:14.1,0.001905498,
53:14.1,0.001905498,
53:14.1,0.002549704,
53:14.1,0.001583395,
53:14.1,0.001905498,
53:14.1,0.002549704,
53:14.2,0.00093919,
53:14.2,0.001583395,
53:14.2,0.000617087,
53:14.2,0.001583395,
53:14.2,0.002549704,
53:14.2,0.001261292,
53:14.2,0.001583395,
53:14.2,0.002549704,
53:14.2,0.001583395,
53:14.2,0.001261292,
53:14.3,0.002871807,
53:14.3,0.002227601,
53:14.3,0.002227601,
53:14.3,0.00093919,
53:14.3,0.002227601,
53:14.3,0.002227601,
53:14.3,0.001261292,
53:14.3,0.002227601,
53:14.3,0.001261292,
53:14.3,0.001905498,
53:14.4,0.001905498,
53:14.4,0.002227601,
53:14.4,0.000617087,
53:14.4,0.001905498,
53:14.4,0.00093919,
53:14.4,0.001905498,
53:14.4,0.00093919,
53:14.4,0.001583395,
53:14.4,0.001905498,
53:14.4,0.001905498,
53:14.5,0.000617087,
53:14.5,0.00093919,
53:14.5,0.001583395,
53:14.5,0.001261292,
53:14.5,0.001905498,
53:14.5,0.002549704,
53:14.5,0.000617087,
53:14.5,0.00093919,
53:14.5,0.001905498,
