Time,Dev1/ai0,Average
12:43.6,0.064393464,0.0651678
12:43.6,0.066003979,
12:43.6,0.065681876,
12:43.6,0.064393464,
12:43.6,0.064393464,
12:43.6,0.06503767,
12:43.6,0.066326082,
12:43.6,0.065359773,
12:43.6,0.065359773,
12:43.7,0.065681876,
12:43.7,0.065681876,
12:43.7,0.065681876,
12:43.7,0.064715567,
12:43.7,0.062460847,
12:43.7,0.064393464,
12:43.7,0.066970288,
12:43.7,0.06278295,
12:43.7,0.065681876,
12:43.7,0.069869214,
12:43.8,0.063427156,
12:43.8,0.065681876,
12:43.8,0.066326082,
12:43.8,0.066003979,
12:43.8,0.066970288,
12:43.8,0.06278295,
12:43.8,0.06278295,
12:43.8,0.064715567,
12:43.8,0.066003979,
12:43.8,0.063749259,
12:43.9,0.06503767,
12:43.9,0.065359773,
12:43.9,0.064715567,
12:43.9,0.063749259,
12:43.9,0.066648185,
12:43.9,0.066648185,
12:43.9,0.064393464,
12:43.9,0.065681876,
12:43.9,0.063105053,
12:43.9,0.064071362,
12:44.0,0.066970288,
12:44.0,0.065681876,
12:44.0,0.064715567,
12:44.0,0.063749259,
12:44.0,0.064393464,
12:44.0,0.066326082,
12:44.0,0.064071362,
12:44.0,0.063105053,
12:44.0,0.062460847,
12:44.0,0.065681876,
12:44.1,0.067614494,
12:44.1,0.066648185,
12:44.1,0.066326082,
12:44.1,0.066003979,
12:44.1,0.067936597,
12:44.1,0.061816641,
12:44.1,0.064715567,
12:44.1,0.066970288,
12:44.1,0.06503767,
12:44.1,0.065359773,
12:44.2,0.064715567,
12:44.2,0.065359773,
12:44.2,0.064393464,
12:44.2,0.066003979,
12:44.2,0.065681876,
12:44.2,0.066970288,
12:44.2,0.064715567,
12:44.2,0.067614494,
12:44.2,0.063427156,
12:44.2,0.066648185,
12:44.3,0.065359773,
12:44.3,0.065359773,
12:44.3,0.064715567,
12:44.3,0.066326082,
12:44.3,0.065681876,
12:44.3,0.064071362,
12:44.3,0.063749259,
12:44.3,0.06503767,
12:44.3,0.063427156,
12:44.3,0.063749259,
12:44.4,0.065681876,
12:44.4,0.067292391,
12:44.4,0.064393464,
12:44.4,0.066648185,
12:44.4,0.066003979,
12:44.4,0.06503767,
12:44.4,0.066326082,
12:44.4,0.065359773,
12:44.4,0.064071362,
12:44.4,0.06503767,
12:44.5,0.064393464,
12:44.5,0.063105053,
12:44.5,0.066648185,
12:44.5,0.064715567,
12:44.5,0.064715567,
12:44.5,0.065359773,
12:44.5,0.063105053,
12:44.5,0.06503767,
12:44.5,0.066326082,
12:44.5,0.066003979,
12:44.6,0.065681876,
12:44.6,0.064715567,
12:44.6,0.065359773,
12:44.6,0.066326082,
12:44.6,0.066003979,
12:44.6,0.06503767,
12:44.6,0.066648185,
12:44.6,0.065359773,
12:44.6,0.065681876,
12:44.6,0.06503767,
12:44.7,0.065359773,
12:44.7,0.06503767,
12:44.7,0.064715567,
12:44.7,0.064393464,
12:44.7,0.065681876,
12:44.7,0.065681876,
12:44.7,0.064393464,
12:44.7,0.067614494,
12:44.7,0.063749259,
12:44.7,0.066003979,
12:44.8,0.066326082,
12:44.8,0.064393464,
12:44.8,0.06503767,
12:44.8,0.065359773,
12:44.8,0.064715567,
12:44.8,0.065359773,
12:44.8,0.066003979,
12:44.8,0.066648185,
12:44.8,0.065681876,
12:44.8,0.064715567,
12:44.9,0.066003979,
12:44.9,0.064071362,
12:44.9,0.064393464,
12:44.9,0.064393464,
12:44.9,0.066326082,
12:44.9,0.066003979,
12:44.9,0.064393464,
12:44.9,0.065681876,
12:44.9,0.065681876,
12:44.9,0.064715567,
12:45.0,0.064715567,
12:45.0,0.06503767,
12:45.0,0.063427156,
12:45.0,0.068258699,
12:45.0,0.06503767,
12:45.0,0.06503767,
12:45.0,0.066326082,
12:45.0,0.066003979,
12:45.0,0.065359773,
12:45.0,0.065681876,
12:45.1,0.063749259,
12:45.1,0.065359773,
12:45.1,0.066970288,
12:45.1,0.06503767,
12:45.1,0.06503767,
12:45.1,0.064071362,
12:45.1,0.063749259,
12:45.1,0.065359773,
12:45.1,0.064071362,
12:45.1,0.064715567,
12:45.2,0.064393464,
12:45.2,0.062460847,
12:45.2,0.06503767,
12:45.2,0.066003979,
12:45.2,0.064071362,
12:45.2,0.064071362,
12:45.2,0.066326082,
12:45.2,0.064393464,
12:45.2,0.065359773,
12:45.2,0.06278295,
12:45.3,0.067292391,
12:45.3,0.064071362,
12:45.3,0.064715567,
12:45.3,0.065359773,
12:45.3,0.06503767,
12:45.3,0.063749259,
12:45.3,0.06503767,
12:45.3,0.064071362,
12:45.3,0.064393464,
12:45.3,0.063427156,
12:45.4,0.066970288,
12:45.4,0.064393464,
12:45.4,0.066970288,
12:45.4,0.06503767,
